Gender, Martial_Status, checking_account, Duration, Credit_history, Purpose, Credit_amount, Saving_Account, Employment, Installment, Debtors, Residence, Propety, Age, Other_installment, Housing, Credits, Job, Number_of_People, Telephone, Foreign_worker, Type_of_customer
male, single, no account, 24, other credits existing, furniture/equipment, 1585, <100 DM, 4-7 years, 4, none, 3, society saving agreement, 40, none, own, 2, skilled employee, 1, none, yes, 1
male, married/widowed, 0-200 DM, 18, existing paid back duly till now, radio/television, 1301, <100 DM, >= 7 years, 4, guarantor, 2, real estate, 32, none, own, 1, unskilled resident, 1, none, yes, 1
male, divorced/separated, >=200 DM, 6, other credits existing, new car, 1323, <100-500 DM, >= 7 years, 2, none, 4, other, 28, none, own, 2, skilled employee, 2, yes, yes, 1
female, divorced/separated/married, 0 DM, 24, existing paid back duly till now, new car, 3123, <100 DM, <1 year, 4, none, 1, society saving agreement, 27, none, own, 1, skilled employee, 1, none, yes, 2
male, single, 0 DM, 36, existing paid back duly till now, used car, 5493, <100 DM, >= 7 years, 2, none, 4, np property, 42, none, for free, 1, skilled employee, 2, none, yes, 1
male, divorced/separated, >=200 DM, 9, existing paid back duly till now, radio/television, 1126, <100-500 DM, >= 7 years, 2, none, 4, real estate, 49, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 24, other credits existing, radio/television, 1216, <100-500 DM, <1 year, 4, none, 4, np property, 38, bank, own, 2, skilled employee, 2, none, yes, 2
female, divorced/separated/married, 0 DM, 24, existing paid back duly till now, new car, 1207, <100 DM, <1 year, 4, none, 4, society saving agreement, 24, none, rent, 1, skilled employee, 1, none, yes, 2
male, single, no account, 10, existing paid back duly till now, new car, 1309, unknown, 1-4 years, 4, guarantor, 4, society saving agreement, 27, none, own, 1, unskilled resident, 1, none, yes, 2
male, single, >=200 DM, 15, other credits existing, used car, 2360, <500-1000 DM, 1-4 years, 2, none, 2, other, 36, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 15, all at this bank paid back duly, new car, 6850, <100-500 DM, unemplyed, 1, none, 2, society saving agreement, 34, none, own, 1, manager/self-employed, 2, yes, yes, 2
male, married/widowed, no account, 24, existing paid back duly till now, radio/television, 1413, <100 DM, 1-4 years, 4, none, 2, society saving agreement, 28, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 39, existing paid back duly till now, used car, 8588, <100-500 DM, >= 7 years, 4, none, 2, other, 45, none, own, 1, manager/self-employed, 1, yes, yes, 1
male, single, 0 DM, 12, existing paid back duly till now, new car, 759, <100 DM, 4-7 years, 4, none, 2, real estate, 26, none, own, 1, skilled employee, 1, none, yes, 2
male, single, no account, 36, existing paid back duly till now, used car, 4686, <100 DM, 1-4 years, 2, none, 2, np property, 32, none, for free, 1, manager/self-employed, 1, yes, yes, 1
male, single, >=200 DM, 15, existing paid back duly till now, business, 2687, <100 DM, 4-7 years, 2, none, 4, society saving agreement, 26, none, rent, 1, skilled employee, 1, yes, yes, 1
male, married/widowed, 0-200 DM, 12, delay in paying off, radio/television, 585, <100 DM, 1-4 years, 4, co-applicant, 4, real estate, 20, none, rent, 2, skilled employee, 1, none, yes, 1
male, single, no account, 24, existing paid back duly till now, new car, 2255, unknown, <1 year, 4, none, 1, society saving agreement, 54, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 6, other credits existing, new car, 609, <100 DM, 4-7 years, 4, none, 3, society saving agreement, 37, none, own, 2, skilled employee, 1, none, no, 1
male, single, 0 DM, 6, other credits existing, new car, 1361, <100 DM, <1 year, 2, none, 4, real estate, 40, none, own, 1, unskilled resident, 2, none, no, 1
female, divorced/separated/married, no account, 36, other credits existing, furniture/equipment, 7127, <100 DM, <1 year, 2, none, 4, society saving agreement, 23, none, rent, 2, skilled employee, 1, yes, yes, 2
male, single, 0 DM, 6, existing paid back duly till now, new car, 1203, <100-500 DM, >= 7 years, 3, none, 2, society saving agreement, 43, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, no account, 6, other credits existing, radio/television, 700, unknown, >= 7 years, 4, none, 4, np property, 36, none, for free, 2, skilled employee, 1, none, yes, 1
male, single, no account, 24, other credits existing, repairs, 5507, <100 DM, >= 7 years, 3, none, 4, np property, 44, none, for free, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 18, existing paid back duly till now, radio/television, 3190, <100 DM, 1-4 years, 2, none, 2, real estate, 24, none, own, 1, skilled employee, 1, none, yes, 2
male, single, 0 DM, 48, all paid back duly, furniture/equipment, 7119, <100 DM, 1-4 years, 3, none, 4, np property, 53, none, for free, 2, skilled employee, 2, none, yes, 2
female, divorced/separated/married, no account, 24, existing paid back duly till now, used car, 3488, <100-500 DM, 4-7 years, 3, none, 4, other, 23, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 18, existing paid back duly till now, radio/television, 1113, <100 DM, 1-4 years, 4, guarantor, 4, real estate, 26, none, own, 1, unskilled resident, 2, none, yes, 1
male, single, 0-200 DM, 26, existing paid back duly till now, used car, 7966, <100 DM, <1 year, 2, none, 3, other, 30, none, own, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 15, other credits existing, education, 1532, <100-500 DM, 1-4 years, 4, none, 3, other, 31, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 4, other credits existing, radio/television, 1503, <100 DM, 4-7 years, 2, none, 1, real estate, 42, none, own, 2, unskilled resident, 2, none, yes, 1
male, divorced/separated, 0 DM, 36, existing paid back duly till now, radio/television, 2302, <100 DM, 1-4 years, 4, none, 4, other, 31, none, rent, 1, skilled employee, 1, none, yes, 2
male, single, 0 DM, 6, existing paid back duly till now, new car, 662, <100 DM, <1 year, 3, none, 4, real estate, 41, none, own, 1, unskilled resident, 2, yes, yes, 1
male, single, 0-200 DM, 36, existing paid back duly till now, education, 2273, <100 DM, 4-7 years, 3, none, 1, other, 32, none, own, 2, skilled employee, 2, none, yes, 1
female, divorced/separated/married, 0-200 DM, 15, existing paid back duly till now, new car, 2631, <100-500 DM, 1-4 years, 2, none, 4, other, 28, none, rent, 2, skilled employee, 1, yes, yes, 2
male, married/widowed, no account, 12, delay in paying off, used car, 1503, <100 DM, 1-4 years, 4, none, 4, real estate, 41, none, rent, 1, skilled employee, 1, none, yes, 1
male, married/widowed, no account, 24, existing paid back duly till now, radio/television, 1311, <100-500 DM, 4-7 years, 4, none, 3, society saving agreement, 26, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, no account, 24, existing paid back duly till now, radio/television, 3105, unknown, <1 year, 4, none, 2, other, 25, none, own, 2, skilled employee, 1, none, yes, 1
male, divorced/separated, >=200 DM, 21, other credits existing, education, 2319, <100 DM, <1 year, 2, none, 1, other, 33, none, rent, 1, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0 DM, 6, existing paid back duly till now, new car, 1374, unknown, unemplyed, 4, none, 3, society saving agreement, 75, none, own, 1, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 18, other credits existing, furniture/equipment, 3612, <100 DM, >= 7 years, 3, none, 4, society saving agreement, 37, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0 DM, 48, existing paid back duly till now, new car, 7763, <100 DM, >= 7 years, 4, none, 4, np property, 42, bank, for free, 1, manager/self-employed, 1, none, yes, 2
female, divorced/separated/married, >=200 DM, 18, existing paid back duly till now, furniture/equipment, 3049, <100 DM, <1 year, 1, none, 1, society saving agreement, 45, stores, own, 1, unskilled resident, 1, none, yes, 1
male, married/widowed, 0-200 DM, 12, existing paid back duly till now, radio/television, 1534, <100 DM, <1 year, 1, none, 1, real estate, 23, none, rent, 1, skilled employee, 1, none, yes, 2
male, single, no account, 24, delay in paying off, new car, 2032, <100 DM, >= 7 years, 4, none, 4, np property, 60, none, for free, 2, skilled employee, 1, yes, yes, 1
male, single, 0 DM, 30, existing paid back duly till now, furniture/equipment, 6350, unknown, >= 7 years, 4, none, 4, society saving agreement, 31, none, own, 1, skilled employee, 1, none, yes, 2
male, single, >=200 DM, 18, existing paid back duly till now, furniture/equipment, 2864, <100 DM, 1-4 years, 2, none, 1, real estate, 34, none, own, 1, unskilled resident, 2, none, yes, 2
male, single, no account, 12, other credits existing, new car, 1255, <100 DM, >= 7 years, 4, none, 4, real estate, 61, none, own, 2, unskilled resident, 1, none, yes, 1
male, single, 0 DM, 24, delay in paying off, new car, 1333, <100 DM, unemplyed, 4, none, 2, real estate, 43, none, for free, 2, skilled employee, 2, none, yes, 2
female, divorced/separated/married, no account, 24, other credits existing, new car, 2022, <100 DM, 1-4 years, 4, none, 4, other, 37, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, no account, 24, existing paid back duly till now, radio/television, 1552, <100 DM, 4-7 years, 3, none, 1, other, 32, bank, own, 1, skilled employee, 2, none, yes, 1
female, divorced/separated/married, 0 DM, 12, all at this bank paid back duly, radio/television, 626, <100 DM, 1-4 years, 4, none, 4, real estate, 24, bank, own, 1, unskilled resident, 1, none, yes, 2
male, single, no account, 48, other credits existing, used car, 8858, unknown, 4-7 years, 2, none, 1, np property, 35, none, for free, 2, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, no account, 12, other credits existing, repairs, 996, unknown, 4-7 years, 4, none, 4, real estate, 23, none, own, 2, skilled employee, 1, none, yes, 1
male, single, no account, 6, all at this bank paid back duly, radio/television, 1750, <500-1000 DM, >= 7 years, 2, none, 4, society saving agreement, 45, bank, own, 1, unskilled resident, 2, none, yes, 1
male, married/widowed, 0 DM, 48, existing paid back duly till now, radio/television, 6999, <100 DM, 4-7 years, 1, guarantor, 1, real estate, 34, none, own, 2, skilled employee, 1, yes, yes, 2
male, single, 0-200 DM, 12, other credits existing, new car, 1995, <100-500 DM, <1 year, 4, none, 1, other, 27, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 9, existing paid back duly till now, education, 1199, <100 DM, 4-7 years, 4, none, 4, society saving agreement, 67, none, own, 2, manager/self-employed, 1, yes, yes, 1
male, single, 0-200 DM, 12, existing paid back duly till now, radio/television, 1331, <100 DM, <1 year, 2, none, 1, other, 22, stores, own, 1, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0-200 DM, 18, all paid back duly, new car, 2278, <100-500 DM, <1 year, 3, none, 3, other, 28, none, own, 2, skilled employee, 1, none, yes, 2
female, divorced/separated/married, no account, 21, all paid back duly, new car, 5003, unknown, 1-4 years, 1, none, 4, society saving agreement, 29, bank, own, 2, skilled employee, 1, yes, yes, 2
male, single, 0 DM, 24, all at this bank paid back duly, furniture/equipment, 3552, <100 DM, 4-7 years, 3, none, 4, other, 27, bank, own, 1, skilled employee, 1, none, yes, 2
male, single, 0-200 DM, 18, other credits existing, furniture/equipment, 1928, <100 DM, <1 year, 2, none, 2, real estate, 31, none, own, 2, unskilled resident, 1, none, yes, 2
male, single, 0 DM, 24, existing paid back duly till now, used car, 2964, unknown, >= 7 years, 4, none, 4, np property, 49, bank, for free, 1, skilled employee, 2, yes, yes, 1
male, single, 0 DM, 24, all at this bank paid back duly, radio/television, 1546, <100 DM, 4-7 years, 4, guarantor, 4, other, 24, bank, rent, 1, unskilled resident, 1, none, yes, 2
female, divorced/separated/married, >=200 DM, 6, delay in paying off, radio/television, 683, <100 DM, <1 year, 2, none, 1, society saving agreement, 29, bank, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 36, existing paid back duly till now, new car, 12389, unknown, 1-4 years, 1, none, 4, np property, 37, none, for free, 1, skilled employee, 1, yes, yes, 2
male, single, 0-200 DM, 24, delay in paying off, business, 4712, unknown, 1-4 years, 4, none, 2, society saving agreement, 37, bank, own, 2, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 24, delay in paying off, radio/television, 1553, <100-500 DM, 4-7 years, 3, none, 2, society saving agreement, 23, none, rent, 2, skilled employee, 1, yes, yes, 1
male, divorced/separated, 0 DM, 12, existing paid back duly till now, new car, 1372, <100 DM, 4-7 years, 2, none, 3, other, 36, none, own, 1, skilled employee, 1, none, yes, 2
male, single, no account, 24, other credits existing, radio/television, 2578, >=100 DM, >= 7 years, 2, none, 2, other, 34, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 48, existing paid back duly till now, radio/television, 3979, unknown, 4-7 years, 4, none, 1, other, 41, none, own, 2, skilled employee, 2, yes, yes, 1
female, divorced/separated/married, 0 DM, 48, existing paid back duly till now, radio/television, 6758, <100 DM, 1-4 years, 3, none, 2, other, 31, none, own, 1, skilled employee, 1, yes, yes, 2
female, divorced/separated/married, 0 DM, 24, existing paid back duly till now, furniture/equipment, 3234, <100 DM, <1 year, 4, none, 4, real estate, 23, none, rent, 1, unskilled resident, 1, yes, yes, 2
male, single, no account, 30, other credits existing, radio/television, 5954, <100 DM, 4-7 years, 3, co-applicant, 2, other, 38, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 24, existing paid back duly till now, used car, 5433, unknown, unemplyed, 2, none, 4, society saving agreement, 26, none, rent, 1, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0 DM, 15, existing paid back duly till now, business, 806, <100 DM, 1-4 years, 4, none, 4, society saving agreement, 22, none, own, 1, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 9, existing paid back duly till now, radio/television, 1082, <100 DM, >= 7 years, 4, none, 4, other, 27, none, own, 2, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, no account, 15, other credits existing, furniture/equipment, 2788, <100 DM, 4-7 years, 2, co-applicant, 3, other, 24, bank, own, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 12, existing paid back duly till now, radio/television, 2930, <100 DM, 4-7 years, 2, none, 1, real estate, 27, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 24, other credits existing, education, 1927, unknown, 1-4 years, 3, none, 2, other, 33, none, own, 2, skilled employee, 1, yes, yes, 1
male, divorced/separated, 0-200 DM, 36, other credits existing, new car, 2820, <100 DM, <1 year, 4, none, 4, other, 27, none, own, 2, skilled employee, 1, none, yes, 2
male, married/widowed, no account, 24, existing paid back duly till now, retraining, 937, <100 DM, <1 year, 4, none, 3, other, 27, none, own, 2, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 18, other credits existing, new car, 1056, <100 DM, >= 7 years, 3, guarantor, 3, real estate, 30, bank, own, 2, skilled employee, 1, none, yes, 2
male, single, 0-200 DM, 12, other credits existing, new car, 3124, <100 DM, <1 year, 1, none, 3, real estate, 49, bank, own, 2, unskilled resident, 2, none, yes, 1
female, divorced/separated/married, no account, 9, existing paid back duly till now, furniture/equipment, 1388, <100 DM, 1-4 years, 4, none, 2, real estate, 26, none, rent, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 36, existing paid back duly till now, repairs, 2384, <100 DM, <1 year, 4, none, 1, np property, 33, none, rent, 1, unskilled resident, 1, none, yes, 2
female, divorced/separated/married, no account, 12, existing paid back duly till now, new car, 2133, unknown, >= 7 years, 4, none, 4, np property, 52, none, for free, 1, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0 DM, 18, existing paid back duly till now, furniture/equipment, 2039, <100 DM, 1-4 years, 1, none, 4, real estate, 20, bank, rent, 1, skilled employee, 1, none, yes, 2
male, single, 0 DM, 9, other credits existing, new car, 2799, <100 DM, 1-4 years, 2, none, 2, real estate, 36, none, rent, 2, skilled employee, 2, none, yes, 1
male, single, 0 DM, 12, existing paid back duly till now, furniture/equipment, 1289, <100 DM, 1-4 years, 4, guarantor, 1, society saving agreement, 21, none, own, 1, unskilled resident, 1, none, yes, 1
male, married/widowed, 0 DM, 18, existing paid back duly till now, domestic appliances, 1217, <100 DM, 1-4 years, 4, none, 3, real estate, 47, none, own, 1, unskilled resident, 1, yes, yes, 2
male, single, 0 DM, 12, other credits existing, furniture/equipment, 2246, <100 DM, >= 7 years, 3, none, 3, society saving agreement, 60, none, own, 2, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0 DM, 12, other credits existing, radio/television, 385, <100 DM, 4-7 years, 4, none, 3, real estate, 58, none, own, 4, unskilled resident, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 24, delay in paying off, new car, 1965, unknown, 1-4 years, 4, none, 4, other, 42, none, rent, 2, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, no account, 21, existing paid back duly till now, business, 1572, >=100 DM, >= 7 years, 4, none, 4, real estate, 36, bank, own, 1, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 24, existing paid back duly till now, new car, 2718, <100 DM, 1-4 years, 3, none, 4, society saving agreement, 20, none, rent, 1, unskilled resident, 1, yes, yes, 2
male, single, 0 DM, 24, all at this bank paid back duly, others, 1358, unknown, >= 7 years, 4, none, 3, other, 40, stores, own, 1, manager/self-employed, 1, yes, yes, 2
female, divorced/separated/married, 0-200 DM, 6, all at this bank paid back duly, new car, 931, <100-500 DM, <1 year, 1, none, 1, society saving agreement, 32, stores, own, 1, unskilled resident, 1, none, yes, 2
female, divorced/separated/married, 0 DM, 24, existing paid back duly till now, new car, 1442, <100 DM, 4-7 years, 4, none, 4, other, 23, none, rent, 2, skilled employee, 1, none, yes, 2
male, single, 0-200 DM, 24, all paid back duly, business, 4241, <100 DM, 1-4 years, 1, none, 4, real estate, 36, none, own, 3, unskilled resident, 1, yes, yes, 2
male, single, no account, 18, other credits existing, new car, 2775, <100 DM, 4-7 years, 2, none, 2, society saving agreement, 31, bank, own, 2, skilled employee, 1, none, yes, 2
male, single, no account, 24, delay in paying off, business, 3863, <100 DM, 1-4 years, 1, none, 2, np property, 32, none, for free, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 7, existing paid back duly till now, radio/television, 2329, <100 DM, <1 year, 1, guarantor, 1, real estate, 45, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 9, existing paid back duly till now, furniture/equipment, 918, <100 DM, 1-4 years, 4, none, 1, society saving agreement, 30, none, own, 1, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0-200 DM, 24, all at this bank paid back duly, education, 1837, <100 DM, 4-7 years, 4, none, 4, np property, 34, bank, for free, 1, unskilled resident, 1, none, yes, 2
female, divorced/separated/married, no account, 36, existing paid back duly till now, furniture/equipment, 3349, <100 DM, 1-4 years, 4, none, 2, other, 28, none, own, 1, manager/self-employed, 1, yes, yes, 2
female, divorced/separated/married, >=200 DM, 10, existing paid back duly till now, furniture/equipment, 1275, <100 DM, <1 year, 4, none, 2, society saving agreement, 23, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0 DM, 24, all at this bank paid back duly, furniture/equipment, 2828, <500-1000 DM, 1-4 years, 4, none, 4, real estate, 22, stores, own, 1, skilled employee, 1, yes, yes, 1
male, single, no account, 24, other credits existing, business, 4526, <100 DM, 1-4 years, 3, none, 2, real estate, 74, none, own, 1, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 36, existing paid back duly till now, radio/television, 2671, <100-500 DM, 1-4 years, 4, co-applicant, 4, np property, 50, none, for free, 1, skilled employee, 1, none, yes, 2
male, single, no account, 18, existing paid back duly till now, radio/television, 2051, <100 DM, <1 year, 4, none, 1, real estate, 33, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 15, existing paid back duly till now, used car, 1300, unknown, >= 7 years, 4, none, 4, np property, 45, bank, for free, 1, skilled employee, 2, none, yes, 1
female, divorced/separated/married, 0 DM, 12, existing paid back duly till now, domestic appliances, 741, <100-500 DM, unemplyed, 4, none, 3, society saving agreement, 22, none, own, 1, skilled employee, 1, none, yes, 2
female, divorced/separated/married, >=200 DM, 10, existing paid back duly till now, new car, 1240, <100-500 DM, >= 7 years, 1, none, 4, np property, 48, none, for free, 1, unskilled resident, 2, none, yes, 2
female, divorced/separated/married, 0 DM, 21, existing paid back duly till now, radio/television, 3357, >=100 DM, <1 year, 4, none, 2, other, 29, bank, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 24, all at this bank paid back duly, used car, 3632, <100 DM, 1-4 years, 1, guarantor, 4, other, 22, bank, rent, 1, skilled employee, 1, none, no, 1
female, divorced/separated/married, no account, 18, delay in paying off, furniture/equipment, 1808, <100 DM, 4-7 years, 4, none, 1, real estate, 22, none, own, 1, skilled employee, 1, none, yes, 2
male, single, 0-200 DM, 48, all paid back duly, business, 12204, unknown, 1-4 years, 2, none, 2, other, 48, bank, own, 1, manager/self-employed, 1, yes, yes, 1
male, single, 0-200 DM, 60, delay in paying off, radio/television, 9157, unknown, 1-4 years, 2, none, 2, np property, 27, none, for free, 1, manager/self-employed, 1, none, yes, 1
male, single, 0 DM, 6, other credits existing, new car, 3676, <100 DM, 1-4 years, 1, none, 3, real estate, 37, none, rent, 3, skilled employee, 2, none, yes, 1
female, divorced/separated/married, 0-200 DM, 30, existing paid back duly till now, furniture/equipment, 3441, <100-500 DM, 1-4 years, 2, co-applicant, 4, other, 21, none, rent, 1, skilled employee, 1, none, yes, 2
male, divorced/separated, no account, 12, existing paid back duly till now, new car, 640, <100 DM, 1-4 years, 4, none, 2, real estate, 49, none, own, 1, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 21, other credits existing, business, 3652, <100 DM, 4-7 years, 2, none, 3, society saving agreement, 27, none, own, 2, skilled employee, 1, none, yes, 1
male, single, no account, 18, other credits existing, new car, 1530, <100 DM, 1-4 years, 3, none, 2, society saving agreement, 32, bank, own, 2, skilled employee, 1, none, yes, 2
male, divorced/separated, no account, 48, existing paid back duly till now, business, 3914, unknown, 1-4 years, 4, none, 2, real estate, 38, bank, own, 1, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0 DM, 12, existing paid back duly till now, furniture/equipment, 1858, <100 DM, <1 year, 4, none, 1, other, 22, none, rent, 1, skilled employee, 1, none, yes, 1
male, single, 0 DM, 18, existing paid back duly till now, radio/television, 2600, <100 DM, 1-4 years, 4, none, 4, np property, 65, none, for free, 2, skilled employee, 1, none, yes, 2
male, single, no account, 15, existing paid back duly till now, radio/television, 1979, unknown, >= 7 years, 4, none, 2, other, 35, none, own, 1, skilled employee, 1, none, yes, 1
male, single, >=200 DM, 6, existing paid back duly till now, furniture/equipment, 2116, <100 DM, 1-4 years, 2, none, 2, real estate, 41, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 9, all at this bank paid back duly, new car, 1437, <100-500 DM, 4-7 years, 2, none, 3, np property, 29, none, own, 1, skilled employee, 1, none, yes, 2
male, single, no account, 42, other credits existing, furniture/equipment, 4042, <500-1000 DM, 1-4 years, 4, none, 4, real estate, 36, none, own, 2, skilled employee, 1, yes, yes, 1
male, single, no account, 9, existing paid back duly till now, education, 3832, unknown, >= 7 years, 1, none, 4, real estate, 64, none, own, 1, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 24, existing paid back duly till now, radio/television, 3660, <100 DM, 1-4 years, 2, none, 4, other, 28, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0 DM, 18, all at this bank paid back duly, furniture/equipment, 1553, <100 DM, 1-4 years, 4, none, 3, other, 44, bank, own, 1, skilled employee, 1, none, yes, 2
male, single, 0-200 DM, 15, existing paid back duly till now, radio/television, 1444, unknown, <1 year, 4, none, 1, society saving agreement, 23, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 9, existing paid back duly till now, furniture/equipment, 1980, <100 DM, <1 year, 2, co-applicant, 2, other, 19, none, rent, 2, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0-200 DM, 24, existing paid back duly till now, new car, 1355, <100 DM, <1 year, 3, none, 4, other, 25, none, own, 1, unskilled resident, 1, yes, yes, 2
male, single, no account, 12, existing paid back duly till now, education, 1393, <100 DM, >= 7 years, 4, none, 4, society saving agreement, 47, bank, own, 3, skilled employee, 2, yes, yes, 1
female, divorced/separated/married, no account, 24, existing paid back duly till now, radio/television, 1376, <500-1000 DM, 4-7 years, 4, none, 1, other, 28, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 60, delay in paying off, radio/television, 15653, <100 DM, 4-7 years, 2, none, 4, other, 21, none, own, 2, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, no account, 12, existing paid back duly till now, radio/television, 1493, <100 DM, <1 year, 4, none, 3, other, 34, none, own, 1, skilled employee, 2, none, yes, 1
male, single, 0 DM, 42, delay in paying off, radio/television, 4370, <100 DM, 4-7 years, 3, none, 2, society saving agreement, 26, bank, own, 2, skilled employee, 2, yes, yes, 2
female, divorced/separated/married, 0 DM, 18, existing paid back duly till now, education, 750, <100 DM, unemplyed, 4, none, 1, real estate, 27, none, own, 1, unskilled non-resident, 1, none, yes, 2
male, single, 0-200 DM, 15, existing paid back duly till now, repairs, 1308, <100 DM, >= 7 years, 4, none, 4, other, 38, none, own, 2, unskilled resident, 1, none, yes, 1
male, single, no account, 15, existing paid back duly till now, education, 4623, <100-500 DM, 1-4 years, 3, none, 2, society saving agreement, 40, none, own, 1, manager/self-employed, 1, yes, yes, 2
male, married/widowed, no account, 24, other credits existing, radio/television, 1851, <100 DM, 4-7 years, 4, guarantor, 2, other, 33, none, own, 2, skilled employee, 1, yes, yes, 1
male, married/widowed, 0 DM, 18, other credits existing, radio/television, 1880, <100 DM, 4-7 years, 4, none, 1, society saving agreement, 32, none, own, 2, manager/self-employed, 1, yes, yes, 1
male, single, no account, 36, delay in paying off, business, 7980, unknown, <1 year, 4, none, 4, other, 27, none, rent, 2, skilled employee, 1, yes, yes, 2
male, divorced/separated, 0 DM, 30, all paid back duly, furniture/equipment, 4583, <100 DM, 1-4 years, 2, guarantor, 2, real estate, 32, none, own, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 12, existing paid back duly till now, new car, 1386, <500-1000 DM, 1-4 years, 2, none, 2, society saving agreement, 26, none, own, 1, skilled employee, 1, none, yes, 2
male, single, >=200 DM, 24, existing paid back duly till now, new car, 947, <100 DM, 4-7 years, 4, none, 3, np property, 38, bank, for free, 1, skilled employee, 2, none, yes, 2
male, single, 0 DM, 12, existing paid back duly till now, education, 684, <100 DM, 1-4 years, 4, none, 4, other, 40, none, rent, 1, unskilled resident, 2, none, yes, 2
male, single, 0 DM, 48, existing paid back duly till now, education, 7476, <100 DM, 4-7 years, 4, none, 1, np property, 50, none, for free, 1, manager/self-employed, 1, yes, yes, 1
male, single, 0-200 DM, 12, existing paid back duly till now, furniture/equipment, 1922, <100 DM, 1-4 years, 4, none, 2, society saving agreement, 37, none, own, 1, unskilled resident, 1, none, yes, 2
male, single, 0 DM, 24, existing paid back duly till now, new car, 2303, <100 DM, >= 7 years, 4, co-applicant, 1, real estate, 45, none, own, 1, skilled employee, 1, none, yes, 2
male, single, 0-200 DM, 36, delay in paying off, new car, 8086, <100-500 DM, >= 7 years, 2, none, 4, other, 42, none, own, 4, manager/self-employed, 1, yes, yes, 2
male, single, no account, 24, other credits existing, used car, 2346, <100 DM, 4-7 years, 4, none, 3, other, 35, none, own, 2, skilled employee, 1, yes, yes, 1
male, single, 0 DM, 14, existing paid back duly till now, new car, 3973, <100 DM, unemplyed, 1, none, 4, np property, 22, none, for free, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 12, existing paid back duly till now, new car, 888, <100 DM, >= 7 years, 4, none, 4, other, 41, bank, own, 1, unskilled resident, 2, none, yes, 2
male, single, no account, 48, existing paid back duly till now, radio/television, 10222, unknown, 4-7 years, 4, none, 3, other, 37, stores, own, 1, skilled employee, 1, yes, yes, 1
